"treatment","replicate_culture","clone_no_in_replicate","phage_tp","bacteria_tp","time_shift","phage_tp_cat","bacteria_tp_cat","infective"
"phage_1",3,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,3,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,4,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,5,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,6,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,7,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,8,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,9,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,10,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,11,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,12,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,8,1,1,0,"p_tp_1","b_tp_1",1
"phage_1",4,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",4,1,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,2,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,3,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,4,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,5,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,6,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,7,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,8,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,9,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",4,10,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,11,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,12,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",4,1,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,3,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,4,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,5,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,6,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,7,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,8,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,9,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",4,10,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,11,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",4,12,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",5,1,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,2,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,3,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,4,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,5,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,6,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,7,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,8,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,9,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,10,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,11,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,12,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",5,1,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,3,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,4,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,5,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,6,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,7,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,8,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,9,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,10,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,11,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",5,12,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",6,1,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,2,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,3,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,4,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,5,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,6,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,7,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,8,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,9,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,10,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,11,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,12,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",6,1,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,3,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,4,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,5,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,6,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,7,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,8,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,9,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,10,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,11,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",6,12,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,2,1,1,0,"p_tp_1","b_tp_1",1
"phage_1",7,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",7,1,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,2,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,3,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,4,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,5,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,6,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,7,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,8,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,9,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,10,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,11,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,12,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",7,1,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,3,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,4,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,5,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,6,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,7,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,8,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,9,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,10,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,11,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",7,12,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",8,1,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,2,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,3,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,4,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,5,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,6,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,7,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,8,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,9,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,10,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,11,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,12,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",8,1,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,3,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,4,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,5,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,6,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,7,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,8,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,9,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,10,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,11,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",8,12,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",9,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",9,1,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,2,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,3,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,4,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,5,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",9,6,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,7,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,8,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,9,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,10,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,11,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,12,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",9,1,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",9,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",9,3,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",9,4,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",9,5,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",9,6,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",9,7,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",9,8,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",9,9,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",9,10,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",9,11,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",9,12,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",10,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",10,1,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",10,2,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",10,3,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",10,4,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",10,5,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",10,6,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",10,7,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",10,8,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",10,9,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",10,10,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",10,11,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",10,12,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",10,1,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",10,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",10,3,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",10,4,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",10,5,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",10,6,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",10,7,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",10,8,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",10,9,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",10,10,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",10,11,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",10,12,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",11,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",11,1,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,2,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,3,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",11,4,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,5,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,6,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,7,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,8,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,9,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,10,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,11,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,12,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",11,1,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",11,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",11,3,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",11,4,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",11,5,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",11,6,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",11,7,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",11,8,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",11,9,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",11,10,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",11,11,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",11,12,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",12,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,11,1,1,0,"p_tp_1","b_tp_1",1
"phage_1",12,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",12,1,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",12,2,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",12,3,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",12,4,2,1,-1,"p_tp_2","b_tp_1",1
